"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"4OR","4OR. A Quarterly Journal of Operations Research","","Springer, Berlin.","1619-4500","N","N","N"
"30$\sp {\rm o}$ Coloq. Bras. Mat.","30$\sp {\rm o}$ Coloquio Brasileiro de Matematica","30th Brazilian Mathematics Colloquium","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","N","N","Y"
"31$\sp {\rm o}$ Coloq. Bras. Mat.","31$\sp {\rm o}$ Coloquio Brasileiro de Matematica","","Inst. Nac. Mat. Pura Apl. (IMPA), Rio de Janeiro.","","Y","N","Y"
"Aastaraam. Eesti Mat. Selts","Aastaraamat. Eesti Matemaatika Selts","Annual. Estonian Mathematical Society","Eesti Mat. Selts, Tartu.","1406-4316","N","N","Y"
"Abel Symp.","Abel Symposia","","Springer, Heidelberg.","2193-2808","N","N","Y"
"Abh. Akad. Wiss. Gottingen Neue Folge","Abhandlungen der Akademie der Wissenschaften zu Gottingen. Neue Folge","Papers of the Academy of Sciences in Gottingen. New Series","De Gruyter/Akademie Forschung, Berlin.","0930-4304","N","N","Y"
"Abh. Akad. Wiss. Hamburg","Abhandlungen der Akademie der Wissenschaften in Hamburg","Proceedings of the Academy of Sciences in Hamburg","De Gruyter/Akademie Forschung, Berlin.","2193-1933","N","N","Y"
"Abh. Math. Semin. Univ. Hambg.","Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg","","Springer, Berlin.","0025-5858","N","Y","N"
"Abh. Philos. Gesch.","Abhandlungen zur Philosophie und ihrer Geschichte","Transactions on Philosophy and its History","Olms, Hildesheim.","","Y","N","Y"
"Abstr. Appl. Anal.","Abstract and Applied Analysis","","Hindawi, London.","1085-3375","N","N","N"
"Academic Press Ser. Cognition and Perception","Academic Press Series in Cognition and Perception","","Academic Press, New York.","","Y","N","Y"
"Accel. Phys.","Accelerator Physics","","Springer, Berlin.","","Y","N","Y"
"ACM Books","ACM Books","","ACM, New York.","","N","N","Y"
"ACM Commun. Comput. Algebra","ACM Communications in Computer Algebra","","ACM, New York.","1932-2232","N","N","N"
"ACM J. Exp. Algorithmics","ACM Journal of Experimental Algorithmics","","ACM, New York.","1084-6654","N","Y","N"
"ACM SIGACT News","ACM SIGACT News","","ACM, New York.","0163-5700","N","N","N"
"ACM Trans. Algorithms","ACM Transactions on Algorithms","","ACM, New York.","1549-6325","N","Y","N"
"ACM Trans. Comput. Log.","ACM Transactions on Computational Logic","","ACM, New York.","1529-3785","N","Y","N"
"ACM Trans. Comput. Theory","ACM Transactions of Computation Theory","","ACM, New York.","1942-3454","N","Y","N"
"ACM Trans. Database Syst.","ACM Transactions on Database Systems","","ACM, New York.","0362-5915","N","N","N"
"ACM Trans. Econ. Comput.","ACM Transactions on Economics and Computation","","ACM, New York.","2167-8375","N","N","N"
"ACM Trans. Math. Software","Association for Computing Machinery. Transactions on Mathematical Software","","ACM, New York.","0098-3500","N","N","N"
"ACM Trans. Model. Comput. Simul.","ACM Transactions on Modeling and Computer Simulation","","ACM, New York.","1049-3301","N","N","N"
"Acta Acad. Sci. Taurinensis","Acta Academiae Scientiarum Taurinensis","","Accad. Sci. Torino, Turin.","","Y","N","Y"
"Acta Anal. Funct. Appl.","Acta Analysis Functionalis Applicata. AAFA. Yingyong Fanhanfenxi Xuebao","","Sci. Press Beijing, Beijing.","1009-1327","N","N","N"
"Acta Appl. Math.","Acta Applicandae Mathematicae","","Springer, Dordrecht.","0167-8019","N","Y","N"
"Acta Arith.","Acta Arithmetica","","Polish Acad. Sci. Inst. Math., Warsaw.","0065-1036","N","Y","N"
"Acta Cient. Venezolana","Acta Cientifica Venezolana. Asociacion Venezolana para el Avance de la Ciencia","","Asoc. Venezolana Avance Cien., Caracas.","0001-5504","N","N","N"
"Acta Comment. Univ. Tartu. Math.","Acta et Commentationes Universitatis Tartuensis de Mathematica","","Univ. Tartu, Fac. Math. Comput. Sci., Tartu.","1406-2283","N","Y","N"
"Acta Crystallogr. Sect. A","Acta Crystallographica Section A. Foundations and Advances","","Wiley, Chichester.","0108-7673","N","N","N"
"Acta Cybernet.","Acta Cybernetica","","Univ. Szeged. Inst. Inform., Szeged.","0324-721X","N","N","N"
"Acta Inform.","Acta Informatica","","Springer, Berlin.","0001-5903","N","Y","N"
